Entity,n_observed_edges
"'eFerdinand,_Duke_of_Parma'",1
"'eFerdinand,_Duke_of_Viseu'",2
"'eFerdinand_Albert_II,_Duke_of_Brunswick-Wolfenbuttel'",2
"'eFerdinand_I,_Holy_Roman_Emperor'",2
"'eFerdinand_II,_Holy_Roman_Emperor'",2
"'eFerdinand_III,_Grand_Duke_of_Tuscany'",4
"'eFerdinand_III,_Holy_Roman_Emperor'",4
'eFerdinand_III_of_Castile',3
'eFerdinand_II_of_Aragon',6
'eFerdinand_II_of_the_Two_Sicilies',4
"'eFerdinand_IV,_Grand_Duke_of_Tuscany'",1
'eFerdinand_I_of_Aragon',2
'eFerdinand_I_of_Austria',2
'eFerdinand_I_of_Bulgaria',1
'eFerdinand_I_of_Naples',3
'eFerdinand_I_of_Portugal',2
'eFerdinand_I_of_Romania',4
'eFerdinand_I_of_the_Two_Sicilies',1
'eFerdinand_Marcos',2
"'eFerdinand_Maria,_Elector_of_Bavaria'",3
'eFerdinand_VII_of_Spain',3
'eFerdinand_VI_of_Spain',1
"'eFerdinando_I_de_Medici,_Grand_Duke_of_Tuscany'",1
'eFerenc_Gyurcsany',1
'eFerenc_Madl',1
'eFerenc_Munnich',1
'eFernand_Bouisson',2
'eFernando_Belaunde_Terry',1
'eFernando_Collor_de_Mello',1
'eFernando_Henrique_Cardoso',1
'eFernando_II_of_Portugal',3
'eFernando_Lamas',1
'eFernando_Tambroni',3
'eFeroz_Khan',1
'eFerruccio_Parri',1
'eFidel_Castro',1
'eFidel_V._Ramos',1
'eFilip_Vujanovic',1
'eFilippo_Maria_Visconti',1
'eFob_James',2
"'eFrances_Grey,_Duchess_of_Suffolk'",1
'eFrancesco_Cossiga',3
'eFrancesco_Crispi',1
"'eFrancesco_III_dEste,_Duke_of_Modena'",1
"'eFrancesco_I_de_Medici,_Grand_Duke_of_Tuscany'",1
"'eFrancis,_Duke_of_Cadiz'",2
"'eFrancis,_Duke_of_Saxe-Coburg-Saalfeld'",1
"'eFrancis,_Duke_of_Teck'",3
'eFrancis_Ford_Coppola',1
"'eFrancis_I,_Holy_Roman_Emperor'",7
"'eFrancis_II,_Duke_of_Brittany'",1
"'eFrancis_II,_Holy_Roman_Emperor'",4
'eFrancis_II_of_the_Two_Sicilies',2
"'eFrancis_IV,_Duke_of_Modena'",1
'eFrancis_I_of_Austria',4
'eFrancis_I_of_France',1
'eFrancis_I_of_the_Two_Sicilies',4
'eFrancisco_Alvarez_Cascos',2
'eFrancisco_Fernandez_Ordonez',2
'eFrancisco_Franco',2
'eFrancisco_Jose_Fernandes_Costa',3
'eFrancisco_da_Costa_Gomes',2
'eFranco_Frattini',2
'eFrancois-Xavier_Ortoli',1
'eFrancois_Baroin',4
'eFrancois_Fillon',4
'eFrancois_Goulard',2
'eFrancois_Guizot',1
'eFrancois_Hollande',1
'eFrancois_Leotard',2
'eFrancois_Loos',2
'eFrancois_Mitterrand',4
'eFrancois_Patriat',1
'eFrancois_Truffaut',1
'eFrancoise_Marie_de_Bourbon',2
"'eFrancoise_dAubigne,_Marquise_de_Maintenon'",1
'eFrancoise_de_Panafieu',2
'eFranjo_Tudman',1
'eFrank-Walter_Steinmeier',2
'eFrank_D._Gilroy',1
'eFrank_Murkowski',1
'eFranklin_D._Roosevelt',2
'eFranklin_Dyall',1
'eFranklin_Pierce',1
'eFranz_Blucher',2
'eFranz_Jonas',1
'eFranz_Josef_Jung',2
'eFranz_Josef_Strauss',1
'eFranz_Joseph_I_of_Austria',2
'eFranz_Muntefering',4
'eFred_Thompson',1
'eFrederic_Lefebvre',1
'eFrederic_de_Saint-Sernin',1
'eFrederica_of_Hanover',2
'eFrederica_of_Mecklenburg-Strelitz',1
"'eFrederick,_Duke_of_Saxe-Altenburg'",1
"'eFrederick,_Margrave_of_Brandenburg-Bayreuth'",1
'eFrederick_Augustus_III_of_Saxony',1
'eFrederick_Augustus_II_of_Saxony',2
'eFrederick_Augustus_I_of_Saxony',1
"'eFrederick_Christian,_Elector_of_Saxony'",2
"'eFrederick_Francis_I,_Grand_Duke_of_Mecklenburg-Schwerin'",2
"'eFrederick_Francis_II,_Grand_Duke_of_Mecklenburg-Schwerin'",4
"'eFrederick_Francis_III,_Grand_Duke_of_Mecklenburg-Schwerin'",2
'eFrederick_Frelinghuysen_(general)',1
"'eFrederick_I,_Duke_of_Saxe-Gotha-Altenburg'",1
"'eFrederick_I,_Duke_of_Wurttemberg'",1
"'eFrederick_I,_Elector_of_Brandenburg'",1
"'eFrederick_I,_Elector_of_Saxony'",2
"'eFrederick_I,_Grand_Duke_of_Baden'",1
"'eFrederick_I,_Holy_Roman_Emperor'",3
"'eFrederick_I,_Margrave_of_Brandenburg-Ansbach'",2
"'eFrederick_II,_Duke_of_Saxe-Gotha-Altenburg'",1
"'eFrederick_II,_Elector_of_Saxony'",3
"'eFrederick_II,_Holy_Roman_Emperor'",1
"'eFrederick_III,_German_Emperor'",4
"'eFrederick_III,_Holy_Roman_Emperor'",3
'eFrederick_III_of_Denmark',2
"'eFrederick_II_Eugene,_Duke_of_Wurttemberg'",4
'eFrederick_II_of_Denmark',2
"'eFrederick_IV,_Elector_Palatine'",1
'eFrederick_IX_of_Denmark',1
'eFrederick_I_of_Denmark',1
'eFrederick_I_of_Liegnitz',1
'eFrederick_I_of_Prussia',1
'eFrederick_I_of_Sweden',2
'eFrederick_I_of_Wurttemberg',3
"'eFrederick_Louis,_Hereditary_Grand_Duke_of_Mecklenburg-Schwerin'",2
"'eFrederick_V,_Elector_Palatine'",2
'eFrederick_VIII_of_Denmark',4
'eFrederick_VII_of_Denmark',1
'eFrederick_VI_of_Denmark',1
"'eFrederick_William_I,_Duke_of_Saxe-Weimar'",3
'eFrederick_William_III_of_Prussia',6
'eFrederick_William_II_of_Prussia',4
'eFrederick_William_IV_of_Prussia',1
'eFrederick_William_I_of_Prussia',2
'eFrederick_the_Fair',1
'eFrederika_Louisa_of_Hesse-Darmstadt',5
'eFriedrich_Ebert',1
"'eFriedrich_Ferdinand,_Duke_of_Schleswig-Holstein'",1
'eFriedrich_III_of_Germany',4
"'eFriedrich_Wilhelm,_Duke_of_Schleswig-Holstein-Sonderburg-Glucksburg'",1
'eFriedrich_Zimmermann',1
'eFritz_Neumayer',1
'eFuad_I_of_Egypt',2
"'eFulk,_King_of_Jerusalem'",3
'eGaleazzo_Maria_Sforza',2
'eGalerius',2
'eGalla_Placidia',1
'eGary_Busey',1
'eGary_Locke',1
"'eGaston,_Duke_of_Orleans'",2
'eGaston_Defferre',3
'eGaston_Doumergue',5
'eGaston_Eyskens',2
'eGaston_Geens',1
'eGaston_Monnerville',2
'eGebhard_Muller',2
'eGeir_Haarde',1
'eGemini_Ganesan',1
'eGena_Rowlands',1
'eGene_Lockhart',1
'eGeoffrey_Howe',1
'eGeoffrey_Lewis_(actor)',1
"'eGeorge,_Duke_of_Brunswick-Luneburg'",4
"'eGeorge,_Duke_of_Saxony'",2
"'eGeorge,_King_of_Saxony'",1
"'eGeorge,_Margrave_of_Brandenburg-Ansbach'",1
'eGeorge_Allen_(U.S._politician)',1
'eGeorge_C._Scott',1
'eGeorge_Deukmejian',1
'eGeorge_Dolenz',1
'eGeorge_H._W._Bush',4
'eGeorge_III_of_the_United_Kingdom',4
'eGeorge_II_of_Great_Britain',2
'eGeorge_II_of_Greece',1
'eGeorge_IV_of_the_United_Kingdom',2
'eGeorge_I_of_Great_Britain',2
'eGeorge_I_of_Greece',1
'eGeorge_Peppard',1
'eGeorge_Reid_(Australian_politician)',1
"'eGeorge_Robertson,_Baron_Robertson_of_Port_Ellen'",1
'eGeorge_Ryan',1
'eGeorge_V',3
'eGeorge_VI',2
'eGeorge_VI_of_the_United_Kingdom',2
'eGeorge_V_of_the_United_Kingdom',3
'eGeorge_W._Bush',3
'eGeorge_W._Romney',1
'eGeorge_Wallace',3
'eGeorge_Washington',1
"'eGeorge_William,_Duke_of_Brunswick-Luneburg'",3
'eGeorge_of_Podebrady',1
'eGeorges_Bidault',2
'eGeorges_Clemenceau',2
'eGeorges_Leygues',4
'eGeorges_Pompidou',3
'eGeorges_Theunis',2
'eGeorgios_Papandreou',1
'eGerald_Ford',2
'eGerard_Depardieu',1
'eGerard_Longuet',3
'eGerda_Hasselfeldt',1
'eGerhard_Schroder',3
'eGerhard_Schroder_(CDU)',2
'eGermaine_of_Foix',1
'eGermanicus',2
'eGerrit_Zalm',3
'eGertrude_Vanderbilt_Whitney',1
'eGertrude_of_Brunswick',1
'eGertrude_of_Hohenburg',3
'eGertrude_of_Saxony',2
'eGertrude_of_Supplingenburg',1
'eGesine_Lotzsch',1
'eGhulam_Mustafa_Jatoi',1
'eGian_Galeazzo_Visconti',1
'eGianfranco_Fini',2
'eGilles_de_Robien',4
'eGiorgio_Napolitano',1
'eGiovanna_of_Italy',1
'eGiovanni_Giolitti',3
'eGiovanni_Gronchi',2
'eGiovanni_Leone',4
'eGiovanni_Spadolini',3
'eGisela_of_Swabia',3
'eGiuliano_Amato',3
'eGiulio_Andreotti',5
'eGiulio_Tremonti',4
'eGiuseppe_Pella',2
'eGiuseppe_Saragat',4
'eGloria_Macapagal-Arroyo',1
'eGoh_Chok_Tong',1
'eGolda_Meir',1
'eGoldie_Hawn',1
'eGoodluck_Jonathan',1
'eGoran_Persson',1
'eGordian_III',1
'eGordon_Bajnai',1
'eGordon_Blake',1
'eGordon_Brown',3
'eGough_Whitlam',1
'eGrace_Coolidge',1
'eGrace_Kelly',2
'eGrand_Duchess_Anna_Pavlovna_of_Russia',2
'eGrand_Duchess_Maria_Pavlovna_of_Russia_(1786-1859)',1
'eGrand_Duke_Konstantin_Nikolayevich_of_Russia',2
'eGrand_Duke_Michael_Nikolaevich_of_Russia',3
'eGrand_Duke_Nicholas_Nikolaevich_of_Russia_(1831-1891)',2
'eGratian',5
'eGray_Davis',1
'eGro_Harlem_Brundtland',1
'eGrover_Cleveland',2
'eGrzegorz_Schetyna',1
'eGuido_Westerwelle',2
'eGunhilda_of_Denmark',1
'eGuntis_Ulmanis',1
'eGuru_Tegh_Bahadur',1
'eGustaf_VI_Adolf_of_Sweden',4
'eGustaf_V_of_Sweden',3
'eGustav_Heinemann',2
'eGustav_Husak',1
'eGustav_III_of_Sweden',1
'eGustav_IV_Adolf_of_Sweden',1
'eGustav_I_of_Sweden',2
'eGustav_Stresemann',1
'eGustave_Sap',2
"'eGuy,_Count_of_Flanders'",1
'eGuy_Mollet',2
'eGuy_Spitaels',1
'eGuy_of_Lusignan',2
'eGyanendra_of_Nepal',1
'eHaakon_VII_of_Norway',1
'eHabib_Ben_Yahia',1
'eHabib_Boulares',2
'eHabib_Bourguiba',1
'eHabib_Thiam',1
'eHafez_al-Assad',1
'eHaile_Selassie',2
'eHaile_Selassie_I_of_Ethiopia',2
'eHalldor_Asgrimsson',2
'eHamadi_Jebali',1
'eHamed_Karoui',2
'eHannibal_Hamlin',1
'eHans-Christoph_Seebohm',1
'eHans-Dietrich_Genscher',3
'eHans-Gert_Pottering',1
'eHans-Joachim_von_Merkatz',1
'eHans-Jochen_Vogel',3
'eHans_Apel',2
'eHans_Dijkstal',2
'eHans_Eichel',2
'eHans_Hoogervorst',3
'eHans_van_Mierlo',1
'eHarald_Bluetooth',2
'eHarald_V_of_Norway',1
'eHarlan_F._Stone',1
'eHarlem_Desir',1
'eHarold_Holt',3
'eHarold_Macmillan',1
'eHarold_Martin_(politician)',2
'eHarold_Wilson',2
'eHarry_Carey_(actor)',1
'eHarry_Davenport_(actor)',1
'eHarry_Payne_Whitney',1
'eHassa_bint_Ahmed_Al_Sudairi',4
'eHassan_II_of_Morocco',1
'eHedda_Hopper',1
'eHedi_Amara_Nouira',3
'eHedwig_of_Kalisz',4
'eHedwig_of_Sagan',1
'eHeinrich_Himmler',1
'eHeinrich_Lubke',1
'eHeinz_Hoffmann',1
'eHelen_(actress)',1
'eHelen_Clark',1
'eHelmut_Kohl',2
'eHelmut_Schmidt',2
'eHema_Malini',1
'eHendrik_Verwoerd',1
'eHenk_Kamp',2
"'eHenri,_Count_of_Chambord'",2
"'eHenri,_Count_of_Paris'",1
'eHenri_Baels',2
'eHenri_Brisson',4
'eHenri_Carton_de_Wiart',2
'eHenri_Emmanuelli',3
'eHenri_Jaspar',4
'eHenri_Konan_Bedie',2
'eHenri_Lefebvre',19
'eHenri_Queuille',2
'eHenrietta_Maria_of_France',3
"'eHenrik,_Prince_Consort_of_Denmark'",1
"'eHenry,_King_of_Portugal'",2
"'eHenry_Cabot_Lodge,_Jr.'",1
'eHenry_Campbell-Bannerman',1
'eHenry_Ephron',2
'eHenry_Fonda',2
"'eHenry_II,_Count_of_Champagne'",3
"'eHenry_II,_Duke_of_Austria'",1
"'eHenry_II,_Duke_of_Bavaria'",1
"'eHenry_II,_Duke_of_Brabant'",1
"'eHenry_II,_Holy_Roman_Emperor'",1
"'eHenry_III,_Holy_Roman_Emperor'",2
'eHenry_III_of_England',4
'eHenry_III_of_France',2
'eHenry_II_of_England',4
'eHenry_II_of_France',5
'eHenry_II_of_Navarre',2
'eHenry_II_the_Pious',1
"'eHenry_IV,_Duke_of_Saxony'",3
"'eHenry_IV,_Holy_Roman_Emperor'",3
'eHenry_IV_of_Castile',2
'eHenry_IV_of_England',3
'eHenry_IV_of_France',7
'eHenry_I_of_England',2
'eHenry_I_of_France',1
'eHenry_I_the_Bearded',3
'eHenry_Paulson',1
"'eHenry_Raspe,_Landgrave_of_Thuringia'",1
"'eHenry_V,_Count_Palatine_of_the_Rhine'",1
"'eHenry_V,_Count_of_Luxembourg'",1
"'eHenry_V,_Holy_Roman_Emperor'",1
"'eHenry_VI,_Holy_Roman_Emperor'",3
"'eHenry_VII,_Holy_Roman_Emperor'",3
'eHenry_VIII_of_England',3
'eHenry_VII_of_England',3
'eHenry_VI_of_England',4
'eHenry_V_of_England',2
"'eHenry_X,_Duke_of_Bavaria'",1
'eHenry_of_Bohemia',2
'eHenry_of_Flanders',2
'eHenry_the_Lion',2
'eHenryk_IV_Probus',1
'eHenryk_Jablonski',1
'eHeraclius_II_of_Georgia',1
'eHerman_Van_Rompuy',3
'eHermann_Goring',1
'eHermione_Baddeley',1
'eHerschel_Burke_Gilbert',1
'eHerve_Gaymard',2
'eHerve_Mariton',1
'eHerve_Morin',1
'eHerve_Novelli',1
"'eHester_Pitt,_Countess_of_Chatham'",1
'eHeydar_Aliyev',1
'eHilbrand_Nawijn',1
'eHilde_Benjamin',1
'eHildegard_of_Vinzgouw',1
'eHilla_Limann',1
'eHillary_Rodham_Clinton',1
'eHirohisa_Fujii',2
'eHirohito',1
'eHiroshi_Nakai',1
'eHitoshi_Ashida',1
'eHolger_Borner',1
'eHoney_Irani',1
'eHong_Taiji',1
'eHonorius_(emperor)',3
'eHor-Aha',1
'eHorst_Ehmke',1
'eHorst_Kohler',3
'eHorst_Seehofer',1
'eHorst_Sindermann',1
'eHortense_de_Beauharnais',1
'eHoward_Dean',1
'eHu_Jintao',1
'eHua_Guofeng',1
'eHubert_Humphrey',3
"'eHugh_IV,_Duke_of_Burgundy'",1
"'eHumbert_III,_Count_of_Savoy'",1
'eHun_Sen',1
'eHuseyn_Shaheed_Suhrawardy',1
'eHussein_Onn',1
'eHussein_of_Jordan',3
'eIan_Paisley',1
'eIbn_Saud',7
'eIbrahim_Boubacar_Keita',1
'eIbrahim_of_the_Ottoman_Empire',1
'eIchiro_Ozawa',4
'eIdries_Shah',1
'eIlaiyaraaja',2
'eImelda_Marcos',1
'eImre_Nagy',1
'eIndira_Gandhi',3
'eIndulis_Emsis',1
'eInfanta_Catherine_Michelle_of_Spain',2
"'eInfanta_Luisa_Fernanda,_Duchess_of_Montpensier'",1
'eInfanta_Maria_Anna_of_Portugal_(1843-1884)',1
'eInfanta_Marie_Anne_of_Portugal',2
"'eInfante_Alfonso_Carlos,_Duke_of_San_Jaime'",2
"'eInfante_Juan,_Count_of_Barcelona'",1
'eIngeborg_of_Norway',1
'eIngegerd_Olofsdotter_of_Sweden',4
'eIngrid_Bergman',1
'eIngrid_of_Sweden',2
'eIngvar_Carlsson',2
'eIon_Iliescu',2
'eIrene_Angelina',3
'eIsaac_II_Angelos',1
'eIsabeau_of_Bavaria',6
"'eIsabel,_Princess_Imperial_of_Brazil'",1
"'eIsabella,_Duchess_of_Lorraine'",1
'eIsabella_Clara_Eugenia',2
'eIsabella_II_of_Spain',2
'eIsabella_I_of_Jerusalem',1
'eIsabella_of_Angouleme',4
'eIsabella_of_Aragon',1
'eIsabella_of_Austria',1
'eIsabella_of_Castile',4
'eIsabella_of_Clermont',3
'eIsabella_of_Coimbra',1
'eIsabella_of_England',1
'eIsabella_of_France',3
'eIsabella_of_Portugal',3
"'eIsabella_of_Portugal,_Duchess_of_Burgundy'",1
'eIsabella_of_Valois',3
'eIsabelle_of_Hainaut',2
'eIsmail_Pasha',3
'eIsmet_Inonu',1
'eItamar_Franco',1
'eIvan_Gasparovic',1
'eIvan_III_of_Russia',1
'eIvan_Reitman',1
'eIvan_Ribar',1
'eIvan_V_of_Russia',2
'eIvan_the_Terrible',1
'eIvanoe_Bonomi',1
'eIvars_Godmanis',1
'eIvica_Racan',1
'eIvo_Sanader',1
'eIziaslav_I_of_Kiev',2
'eJ._B._M._Hertzog',1
'eJ._James_Exon',1
'eJ._R._Jayewardene',1
'eJaan_Tonisson',1
'eJaap_de_Hoop_Scheffer',3
'eJack_Cassidy',2
'eJack_Haley',1
'eJack_Lang_(French_politician)',4
'eJack_Layton',1
'eJack_Lew',1
'eJackie_Chan',1
"'eJacqueline,_Countess_of_Hainaut'",2
'eJacqueline_Kennedy_Onassis',2
'eJacques_Barrot',5
'eJacques_Blanc',1
'eJacques_Chaban-Delmas',4
'eJacques_Chirac',7
'eJacques_Delors',3
'eJacques_Lafleur',2
'eJacques_Monod',1
'eJacques_Peyrat',1
'eJacques_Santer',1
'eJacques_Soustelle',3
'eJacques_Toubon',2
'eJacques_de_Larosiere',1
'eJacquetta_of_Luxembourg',1
'eJada_Pinkett_Smith',1
'eJadranka_Kosor',1
'eJagdeep',1
'eJahangir',1
'eJakaya_Kikwete',1
'eJakup_Krasniqi',1
'eJames_A._Garfield',1
'eJames_Brolin',1
'eJames_Buchanan',1
'eJames_Caan',1
'eJames_Callaghan',2
'eJames_F._Byrnes',2
"'eJames_II,_Count_of_La_Marche'",1
'eJames_II_of_Aragon',1
'eJames_IV_of_Scotland',1
'eJames_I_of_Aragon',2
'eJames_I_of_Scotland',1
'eJames_K._Polk',1
'eJames_L._Jones',1
'eJames_Madison',1
'eJames_Monroe',2
'eJames_Peake',1
'eJames_Taylor',1
'eJames_V_of_Scotland',1
'eJan_Figel',2
'eJan_Fischer_(politician)',1
'eJan_Hendrik_Hofmeyr_(1894-1948)',2
'eJan_Peter_Balkenende',2
'eJan_Pronk',1
'eJan_Smuts',1
'eJan_Trojborg',1
'eJane_Birkin',1
'eJane_Seymour',1
'eJanet_Jagan',2
'eJanet_Lee_Bouvier',2
'eJanet_Leigh',1
'eJanet_Napolitano',2
'eJanez_Jansa',2
'eJanos_Kadar',1
'eJaramogi_Oginga_Odinga',1
'eJaroslaw_Kaczynski',1
'eJason_Miller_(playwright)',1
"'eJason_Robards,_Sr.'",1
'eJaved_Akhtar',1
'eJavier_Arenas_(Spanish_politician)',3
'eJavier_Perez_de_Cuellar',1
'eJavier_Solana',3
'eJawaharlal_Nehru',4
'eJaya_Bachchan',1
'eJayne_Mansfield',1
"'eJean,_Grand_Duke_of_Luxembourg'",1
'eJean-Bernard_Raimond',1
'eJean-Bertrand_Aristide',1
'eJean-Claude_Gaudin',3
'eJean-Claude_Juncker',1
'eJean-Francois_Cope',4
'eJean-Jack_Queyranne',1
'eJean-Louis_Bianco',2
'eJean-Louis_Borloo',5
'eJean-Louis_Debre',2
'eJean-Louis_Tauran',1
'eJean-Marcel_Jeanneney',1
'eJean-Marie_Bockel',2
'eJean-Marie_Le_Pen',1
'eJean-Michel_Baylet',1
'eJean-Pierre_Cassel',1
'eJean-Pierre_Chevenement',6
'eJean-Pierre_Raffarin',2
'eJean-Pierre_Soisson',3
'eJean-de-Dieu_Soult',2
'eJean_Casimir_Perier',1
'eJean_Charest',1
'eJean_Chretien',1
'eJean_Lecanuet',3
'eJean_Leonetti',1
'eJean_Leques',1
'eJean_Tiberi',1
'eJeanne_dAlbret',1
'eJeb_Bush',1
'eJeetendra',1
'eJefferson_Davis',1
'eJelle_Zijlstra',2
'eJennifer_Jones',1
'eJennifer_Lash',2
'eJens_Bohrnsen',1
'eJens_Stoltenberg',2
'eJerome_Cahuzac',1
'eJerry_Brown',2
'eJerry_Lewis',1
'eJerry_Rawlings',1
'eJerry_Stiller',1
'eJerzy_Buzek',1
'eJesse_Jackson',1
'eJiang_Zemin',1
'eJiaqing_Emperor',1
'eJim_Gibbons_(U.S._politician)',1
'eJim_Guy_Tucker',2
'eJim_Henson',1
'eJim_Risch',1
'eJim_Webb',1
'eJimmy_Carter',1
"'eJoachim_III_Frederick,_Elector_of_Brandenburg'",2
'eJoachim_Murat',2
"'eJoan,_Countess_of_Flanders'",1
"'eJoan_Beaufort,_Countess_of_Westmorland'",1
"'eJoan_Beaufort,_Queen_of_Scots'",1
'eJoan_Bennett_Kennedy',1
"'eJoan_I,_Countess_of_Auvergne'",3
'eJoan_II_of_Navarre',1
'eJoan_I_of_Navarre',4
"'eJoan_de_Bohun,_Countess_of_Hereford'",1
'eJoan_of_Acre',1
"'eJoan_of_France,_Duchess_of_Berry'",2
"'eJoan_of_France,_Duchess_of_Brittany'",1
'eJoan_of_Kent',1
"'eJoan_of_Navarre,_Queen_of_England'",3
"'eJoan_of_Valois,_Queen_of_Navarre'",1
'eJoan_the_Lame',2
"'eJoanna,_Duchess_of_Brabant'",1
'eJoanna_II_of_Naples',1
'eJoanna_I_of_Naples',2
'eJoanna_Moore',1
'eJoanna_Shimkus',1
'eJoanna_la_Beltraneja',1
'eJoanna_of_Bourbon',3
'eJoanna_of_Castile',5
'eJoao_Goulart',1
'eJoao_do_Canto_e_Castro',1
'eJoaquin_Almunia',2
'eJob_Cohen',1
'eJobst_of_Moravia',4
'eJoe_Clark',1
'eJohan_Witteveen',1
"'eJohann_Wilhelm,_Elector_Palatine'",1
'eJohannes_Brand',1
'eJohannes_R._Becher',1
'eJohannes_Rau',4
"'eJohn,_Dauphin_of_France,_Duke_of_Touraine'",1
"'eJohn,_Duke_of_Berry'",2
"'eJohn,_King_of_Denmark'",1
"'eJohn,_King_of_England'",3
'eJohn_A._Macdonald',1
'eJohn_Abbott',1
'eJohn_Adams',2
'eJohn_Barrymore',2
'eJohn_Boehner',1
'eJohn_Carradine',1
'eJohn_Cassavetes',1
"'eJohn_Christian,_Count_Palatine_of_Sulzbach'",1
"'eJohn_Colborne,_1st_Baron_Seaton'",1
'eJohn_Cromwell_(director)',1
'eJohn_D._Rockefeller',1
"'eJohn_D._Rockefeller,_Jr.'",5
'eJohn_D._Rockefeller_III',1
'eJohn_Drew_Barrymore',1
"'eJohn_Dudley,_1st_Duke_of_Northumberland'",2
'eJohn_F._Kennedy',2
'eJohn_Farrow',1
'eJohn_Foster_Dulles',1
"'eJohn_Frederick,_Duke_of_Brunswick-Luneburg'",3
"'eJohn_Frederick,_Margrave_of_Brandenburg-Ansbach'",1
"'eJohn_Frederick_I,_Elector_of_Saxony'",3
"'eJohn_Frederick_II,_Duke_of_Saxony'",1
"'eJohn_George,_Elector_of_Brandenburg'",1
"'eJohn_George_I,_Elector_of_Saxony'",1
'eJohn_Gorton',1
"'eJohn_Henry,_Margrave_of_Moravia'",1
'eJohn_Howard',2
'eJohn_Huston',2
"'eJohn_I,_Duke_of_Brabant'",1
"'eJohn_I,_Margrave_of_Brandenburg'",2
"'eJohn_II,_Duke_of_Bourbon'",1
"'eJohn_II,_Duke_of_Brittany'",1
"'eJohn_II,_Duke_of_Saxe-Weimar'",2
"'eJohn_III,_Duke_of_Brittany'",2
'eJohn_III_Sobieski',2
'eJohn_III_of_Sweden',1
'eJohn_II_of_Aragon',2
'eJohn_II_of_France',5
"'eJohn_IV,_Duke_of_Brittany'",2
'eJohn_IV_of_Portugal',1
'eJohn_I_Albert',1
'eJohn_I_of_Aragon',2
'eJohn_I_of_Portugal',2
'eJohn_Jacob_Astor_IV',1
'eJohn_Lennon',2
'eJohn_Lynch_(New_Hampshire)',1
'eJohn_Major',2
'eJohn_McEwen',1
'eJohn_Mills',2
'eJohn_Mortimer',1
"'eJohn_Philip,_Duke_of_Saxe-Altenburg'",2
'eJohn_Phillips_(musician)',1
'eJohn_Quincy_Adams',2
'eJohn_Ritter',1
"'eJohn_Russell,_1st_Earl_Russell'",1
"'eJohn_S._McCain,_Jr.'",1
"'eJohn_Spencer,_8th_Earl_Spencer'",1
'eJohn_Turner',1
'eJohn_Tyler',1
"'eJohn_V,_Duke_of_Brittany'",2
"'eJohn_VI,_Count_of_Nassau-Dillenburg'",1
"'eJohn_VI,_Duke_of_Brittany'",1
"'eJohn_VII,_Count_of_Harcourt'",1
'eJohn_VIII_Palaiologos',1
'eJohn_VI_Kantakouzenos',2
'eJohn_VI_of_Portugal',2
'eJohn_V_Palaiologos',3
'eJohn_V_of_Portugal',1
'eJohn_Warner',1
'eJohn_Wayne',1
"'eJohn_William,_Duke_of_Julich-Cleves-Berg'",3
"'eJohn_William,_Duke_of_Saxe-Weimar'",2
'eJohn_of_Bohemia',4
'eJohn_of_Brienne',2
'eJohn_of_England',3
"'eJohn_of_Gaunt,_1st_Duke_of_Lancaster'",4
"'eJohn_of_Lancaster,_1st_Duke_of_Bedford'",1
'eJohn_of_Saxony',2
'eJohn_the_Fearless',1
'eJomo_Kenyatta',2
'eJon_Corzine',1
"'eJon_Huntsman,_Sr.'",1
'eJon_Pertwee',1
'eJon_Voight',1
'eJoop_den_Uyl',2
'eJorge_Sampaio',1
'eJose_Baptista_Pinheiro_de_Azevedo',1
'eJose_Ferrer',1
'eJose_Luis_Lopez_Vazquez',1
'eJose_Luis_Rodriguez_Zapatero',1
'eJose_Maria_Aznar',3
'eJose_Norton_de_Matos',1
'eJose_P._Laurel',1
'eJose_Pedro_Perez-Llorca',1
'eJose_Relvas',2
'eJose_Sarney',2
'eJose_de_Castro',3
'eJosep_Borrell',2
'eJoseph_Bonaparte',3
'eJoseph_Caillaux',1
'eJoseph_Deiss',2
'eJoseph_Estrada',1
"'eJoseph_I,_Holy_Roman_Emperor'",3
"'eJoseph_II,_Holy_Roman_Emperor'",1
'eJoseph_M._McCormick',1
"'eJoseph_P._Kennedy,_Sr.'",5
'eJoseph_Stalin',1
'eJosephine_de_Beauharnais',3
'eJosephine_of_Leuchtenberg',3
'eJosip_Broz_Tito',1
'eJozef_Pilsudski',2
'eJozias_van_Aartsen',2
'eJuan_Carlos_I_of_Spain',1
'eJuan_Peron',1
'eJuan_Ponce_Enrile',1
'eJudea_Pearl',1
'eJudith_of_Habsburg',3
'eJudith_of_Schweinfurt',1
'eJudith_of_Swabia',1
'eJudy_Garland',1
'eJules_Armand_Dufaure',1
'eJules_Ferry',5
'eJules_Malou',1
'eJules_Renkin',2
'eJulia_Gillard',1
'eJulia_the_Elder',1
'eJuliana_of_the_Netherlands',3
'eJulie_Bishop',1
'eJulius_Caesar',2
'eJulius_Sterling_Morton',1
'eJune_Carter_Cash',1
'eJurgen_Schmude',2
'eJurgen_Trittin',2
'eJurgen_Warnke',1
'eKa`ahumanu',1
'eKai-Uwe_von_Hassel',2
'eKaifi_Azmi',1
'eKalakaua',2
'eKalakua_Kaheiheimalie',3
'eKalevi_Sorsa',1
'eKamehameha_I',3
'eKamehameha_II',1
'eKamehameha_III',1
'eKamehameha_IV',1
'eKangxi_Emperor',1
'eKaoru_Yosano',1
